,,,Batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitching,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA
2,Carter,Miles,18,72,61,.328,.417,.909,.492,20,13,5,1,1,14,19,9,11,3,1,0,1,2,1,8,88.9,1,0,38,52.8,8.0,.818,82.1,18,22.0,31.0,47.0,.365,.333,18,5,7,30,260,3.61,8,11.1,10,13.9,61.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,.000,.000,0,0,0,0,0,-,0,.000
7,Nguyen,Eli,18,69,58,.293,.391,.805,.414,17,11,4,0,2,18,15,8,14,4,2,0,1,1,2,5,83.3,1,0,34,49.3,8.6,.571,79.5,14,19.0,36.0,45.0,.341,.286,21,7,6,24,245,3.55,6,8.7,9,13.0,29.0,0,0,0,6.1,3,0,31,118,1,0,0,0,0,-,7,4,3,4,7,2,1,3.316,1.737,8,0,0,0,2,100.0,1,.269
12,Beckett,Owen,17,64,52,.269,.375,.760,.385,14,9,3,0,2,12,11,9,12,5,2,0,1,1,1,2,66.7,1,0,29,45.3,7.1,.750,76.4,13,24.0,29.0,47.0,.308,.250,20,3,5,20,218,3.41,7,10.9,7,10.9,26.0,2,0,0,19.0,6,4,83,326,3,1,0,0,0,-,18,9,7,8,23,8,3,2.579,1.368,17,0,1,1,4,80.0,2,.247
18,Valdez,Marco,15,48,40,.250,.333,.708,.375,10,6,2,0,2,9,8,5,16,6,2,1,0,1,0,1,100.0,0,0,21,43.8,9.6,.313,71.2,9,18.0,41.0,41.0,.320,.222,16,2,4,15,170,3.54,5,10.4,6,12.5,20.0,0,0,0,23.2,7,5,102,391,2,2,1,1,0,100.0,24,13,10,7,31,11,2,2.958,1.310,21,0,0,0,3,75.0,3,.264
24,Sullivan,Reid,12,35,29,.207,.343,.653,.310,6,4,1,1,0,5,7,6,9,3,0,0,0,0,1,0,-,0,0,14,40.0,5.8,.667,77.0,8,20.0,34.0,46.0,.273,.200,12,1,2,9,118,3.37,4,11.4,5,14.3,-,1,0,0,11.1,5,1,50,188,1,0,0,0,0,-,9,6,4,6,10,4,1,2.471,1.324,9,0,0,0,1,50.0,0,.220
3,Whitaker,Jonah,10,28,24,.292,.346,.721,.375,7,5,2,0,0,4,5,2,6,2,1,0,1,1,0,2,100.0,0,0,13,46.4,14.0,.333,73.0,6,18.0,40.0,42.0,.350,.250,8,1,2,9,94,3.36,2,7.1,3,10.7,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,.000,.000,0,0,0,0,0,-,0,.000
5,Kim,Noah,13,39,33,.242,.359,.662,.303,8,6,2,0,0,6,8,5,7,2,1,0,0,2,1,4,80.0,1,0,17,43.6,7.8,.714,78.0,7,20.0,35.0,45.0,.296,.231,10,2,2,10,132,3.38,4,10.3,5,12.8,-,0,0,0,4.0,3,0,19,71,0,0,0,0,0,-,4,3,2,3,4,1,0,3.500,1.750,5,0,0,0,1,100.0,0,.250
9,Harper,Colt,9,25,21,.190,.320,.558,.238,4,3,1,0,0,3,4,4,8,4,0,0,0,1,1,1,100.0,0,0,10,40.0,6.3,.500,69.0,4,16.0,44.0,40.0,.267,.167,9,1,1,5,86,3.44,2,8.0,3,12.0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,.000,.000,0,0,0,0,0,-,0,.000
14,Ramos,Adrian,8,18,15,.333,.444,.911,.467,5,3,1,1,0,4,6,3,4,1,0,0,0,0,0,1,100.0,0,0,9,50.0,6.0,.750,81.0,5,23.0,31.0,46.0,.385,.333,5,2,2,7,61,3.39,2,11.1,3,16.7,-,0,0,0,9.2,4,2,41,154,1,1,0,0,0,-,8,5,4,5,9,3,1,2.897,1.345,8,0,0,0,2,66.7,1,.235
21,Ellis,Grant,7,16,13,.154,.313,.543,.231,2,1,1,0,0,2,3,3,5,1,0,0,0,1,0,0,-,0,0,6,37.5,5.3,.600,68.0,3,15.0,42.0,43.0,.222,.143,6,0,1,3,55,3.44,1,6.3,2,12.5,-,0,0,0,14.0,6,0,59,219,0,1,2,2,0,100.0,12,6,5,6,16,5,2,2.500,1.286,13,0,0,0,1,50.0,2,.231
28,Brooks,Tate,6,12,10,.300,.417,.817,.400,3,2,1,0,0,2,2,2,2,0,0,0,0,0,0,0,-,0,0,7,58.3,6.0,1.000,84.0,3,20.0,30.0,50.0,.333,.500,3,1,1,4,39,3.25,1,8.3,1,8.3,-,0,0,0,7.1,5,0,32,120,1,0,1,1,0,100.0,6,3,3,4,8,2,1,2.864,1.364,7,0,0,0,1,50.0,0,.214
32,Moore,Lucas,5,9,8,.125,.222,.347,.125,1,1,0,0,0,1,1,1,4,2,0,0,0,0,0,0,-,0,0,3,33.3,9.0,.250,65.0,1,12.0,48.0,40.0,.250,.000,4,0,0,1,31,3.44,1,11.1,1,11.1,-,0,0,0,5.0,3,0,24,93,0,0,0,0,0,-,5,4,3,4,5,2,0,4.200,1.800,5,0,0,0,1,100.0,1,.263
